Unnamed: 0,Nombre,Provincia,Zona,Zona Unificada,Web,Tienda,Tech Stack,Grupo,Mercado Fuerte,% de Exportación,B2B,Vol. Anual (L),Tamaño,Líneas,ETIQ.
304,Santa Ana - Grupo Peñaflor,Mendoza,Maipú,Maipú,No tiene,vinosyspirits.com,Shopify,Gpo. Peñaflor,Arg,30%,Intl,18.000.000,Grande,12.0,70.0
305,Santa Julia,Mendoza,Maipú,Maipú,santajulia.com.ar,No tiene,No aplica,Fam. Zuccardi,Arg/Ext,50%,Intl,25.000.000,Grande,16.0,95.0
306,Sarapura Wines,Mendoza,Los Chacayes,Tunuyán,No tiene,No tiene,No aplica,Indep.,Mza,5%,Reg,35.000,Proyecto,2.0,8.0
307,Sardi,Mendoza,Algarrobal,Las Heras,fincasardi.com.ar/,No tiene,No aplica,Indep.,Arg,10%,Reg,120.000,Boutique,3.0,12.0
308,Savina,Mendoza,Lunlunta,Maipú,bodegafincasavina.com/,bodegafincasavina.com/categoria-producto/vinos/,WooCommerce,Indep.,Arg,10%,Reg,60.000,Boutique,2.0,9.0
309,Septima,Mendoza,Agrelo,Luján de Cuyo,bodegaseptima.com,tienda.bodegaseptima.com,WooCommerce,Codorníu,Arg/Ext,45%,Intl,3.500.000,Grande,8.0,40.0
310,Serrera Wines,Mendoza,Cuchillas de Lunlunta,Luján de Cuyo,serrera.com.ar,serrerawines.com/tienda,Custom,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,14.0
311,SIMONASSI LYON SA.,Mendoza,Rama Caída,San Rafael,bodegasimonassilyon.com/#!/-bienvenids/,No tiene,No aplica,Indep.,Arg,15%,Nac,400.000,Mediana,4.0,18.0
312,Sin Fin,Mendoza,Russell,Maipú,bodegasinfin.com,tienda.bodegasinfin.com,Shopify,Indep.,Arg,25%,Nac,1.200.000,Mediana,6.0,32.0
313,Solo Contigo Wine,Mendoza,Los Chacayes,Tunuyán,No tiene,No tiene,No aplica,Indep.,Arg,20%,Nac,180.000,Boutique,4.0,16.0
314,Sottano,Mendoza,Perdriel,Luján de Cuyo,bodegasottano.com,No tiene,No aplica,Indep.,Arg,30%,Nac,1.800.000,Grande,6.0,35.0
315,Staphyle,Mendoza,Carrodilla,Luján de Cuyo,staphyle.com,mercadolibre.com.ar/tienda/staphyle,Mercadolibre,Indep.,Arg,20%,Nac,900.000,Mediana,5.0,28.0
316,Stellium,Mendoza,Perdriel,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,12.0
317,Stocco de Viani,Mendoza,Rodeo del Medio,Maipú,stoccodeviani.com.ar/,No tiene,No aplica,Indep.,Arg,20%,Nac,600.000,Mediana,5.0,24.0
318,Suarez,Mendoza,Paraje Altamira,San Carlos,fincasuarez.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,120.000,Boutique,3.0,14.0
319,Super Uco,Mendoza,Los Chacayes,Tunuyán,superuco.com,superuco.com,WooCommerce,Indep.,Arg,20%,Reg,90.000,Boutique,3.0,10.0
320,Susana Balbo (Dominio del Plata),Mendoza,Agrelo,Luján de Cuyo,susanabalbowines.com.ar,tienda.susanabalbowines.com.ar,Shopify,Indep.,Ext,65%,Intl,2.500.000,Grande,8.0,42.0
321,Suter - Grupo Peñaflor,Mendoza,Las Paredes,San Rafael,bodegasuter.com.ar/,vinosyspirits.com,Shopify,Gpo. Peñaflor,Arg,15%,Nac,10.000.000,Grande,11.0,60.0
322,Tempus Alba,Mendoza,Coquimbito,Maipú,tempusalba.com,No tiene,Whatsapp,Indep.,Arg,15%,Nac,250.000,Boutique,4.0,16.0
323,TERRACOTA WINELAND S.A.,Mendoza,La Consulta,San Carlos,terracotawineland.com/,No tiene,No aplica,Indep.,Arg,15%,Nac,180.000,Boutique,3.0,14.0
324,Terrazas De Los Andes,Mendoza,Perdriel,Luján de Cuyo,terrazasdelosandes.com/es-ar,No tiene,No aplica,LVMH,Ext,70%,Intl,6.500.000,Grande,9.0,50.0
325,TIERRA DE ANDES,Mendoza,Alto Salvador,San Martín,tierradeandes.com,No tiene,No aplica,Indep.,Arg,15%,Nac,1.800.000,Grande,6.0,32.0
326,Tierras Altas,Mendoza,Carrodilla,Luján de Cuyo,familiavargasarizu.com,tierrasaltasbodega.com,Tiendanube,Indep.,Arg,15%,Nac,350.000,Mediana,4.0,18.0
327,Tittarelli Wines,Mendoza,La Libertad,Rivadavia,tittarelli.com.ar,No tiene,No aplica,Indep.,Arg,10%,Nac,4.500.000,Grande,8.0,45.0
328,TORNAGHI S.A.,Mendoza,El Cerrito,San Rafael,tornaghi.com.ar,tornaghi.com.ar/shop,Odoo,Indep.,Arg,15%,Nac,250.000,Boutique,3.0,15.0
329,Torreleones,Mendoza,Rodeo de la Cruz,Guaymallén,bodegatorreleones.com,tiendabodegatorreleones.com.ar,Tiendanube,Indep.,Arg,0%,Nac,120.000,Boutique,3.0,12.0
330,Toso,Mendoza,San José,Tupungato,bodegastoso.com,No tiene,No aplica,Indep.,Ext,60%,Intl,1.500.000,Mediana,6.0,30.0
331,Trapiche - Grupo Peñaflor,Mendoza,Maipú,Maipú,trapiche.com.ar/comin/bodega/,vinosyspirits.com,Shopify,Gpo. Peñaflor,Arg/Ext,60%,Intl,31.500.000,Grande,18.0,110.0
332,Traslapiedra,Mendoza,Paraje Altamira,San Carlos,traslatienda.com,traslatienda.com,Tiendanube,Indep.,Arg,15%,Reg,60.000,Boutique,2.0,8.0
333,Trivento,Mendoza,Russell,Maipú,trivento.com,No tiene,No aplica,Concha y Toro,Ext,80%,Intl,20.000.000,Grande,15.0,95.0
334,URUCO WINES,Mendoza,El Peral,Tupungato,urucowines.com,tienda.urucowines.com,WooCommerce,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,14.0
335,VALLE DEL ATUEL S.A.,Mendoza,El Desvío,General Alvear,bodegavalledelatuel.com,No tiene,No aplica,Indep.,Arg,10%,Nac,2.200.000,Grande,6.0,35.0
336,Valle del Indio,Mendoza,Las Compuertas,Luján de Cuyo,bodegavalledelindio.com,No tiene,No aplica,Indep.,Arg,20%,Nac,300.000,Boutique,4.0,18.0
337,Viamonte Winery,Mendoza,Vistalba,Luján de Cuyo,viamontewinery.com,viamontewinery.com/shop,WooCommerce,Indep.,Arg,20%,Nac,450.000,Mediana,4.0,20.0
338,VIDITA VINEYARDS S.A.,Mendoza,Costa de Araujo,Lavalle,viditawines.mitiendanube.com,viditawines.mitiendanube.com,Tiendanube,Indep.,Arg,5%,Reg,180.000,Boutique,3.0,15.0
339,VIGNES DES ANDES S.A.,Mendoza,Agrelo,Luján de Cuyo,vignesdesandes.com,tienda.vignesdesandes.com,WooCommerce,Indep.,Arg,15%,Nac,220.000,Boutique,4.0,16.0
340,VINECOL S.A.,Mendoza,La Paz,La Paz,vinecol.com.ar,No tiene,No aplica,Indep.,Ext,70%,Intl,600.000,Mediana,5.0,25.0
341,Vinorum - Familia Altieri,Mendoza,Perdriel,Luján de Cuyo,vinorum.com.ar,No tiene,No aplica,Fam. Altieri,Arg,20%,Nac,350.000,Mediana,4.0,18.0
342,Vinos de Potrero,Mendoza,Gualtallary,Tupungato,vinosdepotrero.com,No tiene,No aplica,Indep.,Arg,20%,Reg,90.000,Boutique,3.0,12.0
343,Viña Alicia,Mendoza,Mayor Drummond,Luján de Cuyo,vinaalicia.com,No tiene,No aplica,Indep.,Arg/Ext,30%,Nac,120.000,Boutique,3.0,14.0
344,Viña Cobos,Mendoza,Agrelo,Luján de Cuyo,vinacobos.com,tienda.vinacobos.com,Tiendanube,Indep.,Ext,70%,Intl,1.800.000,Grande,7.0,35.0
345,Viña Las Perdices,Mendoza,Agrelo,Luján de Cuyo,lasperdices.com,lasperdices.com,VTEX,Indep.,Arg,30%,Intl,4.500.000,Grande,9.0,50.0
346,Viñas de Alvear,Mendoza,General Alvear,General Alvear,No tiene,No tiene,No aplica,Indep.,Arg,5%,Nac,3.500.000,Grande,7.0,42.0
347,Viñas de Balbo,Mendoza,San Martín,San Martín,vinasdebalbo.com,No tiene,No aplica,Indep.,Arg,10%,Nac,18.000.000,Grande,10.0,55.0
348,VIÑEDOS Y OLIVARES DEL OESTE S.A.,Mendoza,Los Barriales,Junín,No tiene,No tiene,No aplica,Indep.,Arg,15%,Nac,1.500.000,Mediana,6.0,30.0
349,Vista Flores,Mendoza,Vista Flores,Tunuyán,vistafloresestate.com,No tiene,No aplica,Indep.,Arg,20%,Nac,400.000,Mediana,4.0,20.0
350,Vistalba,Mendoza,Vistalba,Luján de Cuyo,bodegavistalba.com,bodegavistalba.com/tienda,Prestashop,Indep.,Arg/Ext,40%,Intl,1.200.000,Mediana,6.0,32.0
351,Vistandes,Mendoza,Cruz de Piedra,Maipú,vistandes.com,vistandes.mitiendanube.com,Tiendanube,Indep.,Arg,20%,Nac,800.000,Mediana,5.0,26.0
352,WALIORS S.A.,Mendoza,La Colonia,Junín,bodegawaliors.wixsite.com/waliors,No tiene,No aplica,Indep.,Arg,15%,Nac,250.000,Boutique,3.0,14.0
353,Weinert,Mendoza,Mayor Drummond,Luján de Cuyo,bodegaweinert.com,bodegaweinert.com/collections/vinos,Shopify,Indep.,Arg/Ext,45%,Intl,1.500.000,Mediana,6.0,30.0
354,ZINGARETTI (Antonio),Mendoza,Gutiérrez,Maipú,zingarettiwines.mitiendanube.com,zingarettiwines.mitiendanube.com,Tiendanube,Indep.,Arg,15%,Nac,180.000,Boutique,3.0,12.0
355,Zolo - Fincas Patagónicas,Mendoza,Agrelo,Luján de Cuyo,No tiene,No tiene,No aplica,Fincas Pat.,Arg/Ext,50%,Intl,1.200.000,Mediana,6.0,35.0
356,Zorzal Wines,Mendoza,Gualtallary,Tupungato,zorzalwines.com,No tiene,No aplica,Indep.,Ext,65%,Intl,650.000,Mediana,5.0,28.0
357,Zuccardi Valle de Uco (Piedra Infinita),Mendoza,Paraje Altamira,San Carlos,zuccardiwines.com,No tiene,No aplica,Fam. Zuccardi,Ext,65%,Intl,2.500.000,Grande,8.0,45.0
